,N,P,K,temperature,humidity,ph,rainfall,label,Cluster
0,70,59,43,20.879744,82.00275,6.5029855,202.93553,rice,Cluster 3
1,82,59,38,21.770462,80.31964,7.0380964,226.65553,rice,Cluster 3
2,75,39,41,23.00446,82.32076,7.840207,263.96423,rice,Cluster 3
3,74,37,43,26.491096,80.15836,6.980401,242.86403,rice,Cluster 3
4,74,50,40,20.130175,81.60487,7.628473,262.71735,rice,Cluster 3
5,88,57,41,23.058048,83.37012,7.0734534,251.055,rice,Cluster 3
6,87,49,35,22.708838,82.63941,5.7008057,271.32486,rice,Cluster 3
7,97,36,42,20.277744,82.89409,5.718627,241.9742,rice,Cluster 3
8,70,37,35,24.51588,83.53522,6.6853466,230.44624,rice,Cluster 3
9,78,54,43,23.223974,83.033226,6.3362536,221.2092,rice,Cluster 3
10,84,40,45,26.527235,81.41754,5.386168,264.61487,rice,Cluster 3
11,68,42,43,23.978983,81.450615,7.502834,250.08324,rice,Cluster 3
12,80,56,38,26.800797,80.88685,5.1086817,284.43646,rice,Cluster 3
13,61,36,38,24.014977,82.05687,6.9843535,185.27734,rice,Cluster 3
14,95,35,45,25.665852,80.66385,6.94802,209.58698,rice,Cluster 3
15,78,58,35,24.282095,80.300255,7.0422993,231.08633,rice,Cluster 3
16,97,54,43,21.587118,82.78837,6.2490506,276.65524,rice,Cluster 3
17,85,36,45,23.79392,80.41818,6.9708595,206.26118,rice,Cluster 3
18,80,42,42,21.865252,80.1923,5.9539332,224.55502,rice,Cluster 3
19,78,60,38,23.579435,83.5876,5.853932,291.29868,rice,Cluster 3
20,92,35,41,21.32504,80.47476,6.4424753,185.49747,rice,Cluster 3
21,89,48,41,25.157455,83.117134,5.0701756,231.38432,rice,Cluster 3
22,86,54,45,21.947668,80.97384,6.0126324,213.3561,rice,Cluster 3
23,82,59,44,21.052536,82.6784,6.2540283,233.10757,rice,Cluster 3
24,72,40,44,23.483814,81.33265,7.375483,224.05812,rice,Cluster 3
25,99,43,45,25.075636,80.523895,7.778915,257.00388,rice,Cluster 3
26,76,42,38,26.359272,84.04404,6.2865,271.3586,rice,Cluster 3
27,83,36,35,24.529226,80.54498,7.07096,260.2634,rice,Cluster 3
28,61,49,39,20.77576,84.49774,6.2448416,240.08107,rice,Cluster 3
29,93,49,45,22.301575,80.644165,6.043305,197.97913,rice,Cluster 3
30,63,60,38,21.446539,84.943756,5.824709,272.20172,rice,Cluster 3
31,69,35,41,22.17932,80.331276,6.3573895,200.08827,rice,Cluster 3
32,60,56,40,24.527838,82.736855,6.364135,224.67572,rice,Cluster 3
33,69,47,43,20.267076,81.638954,5.0145073,270.44174,rice,Cluster 3
34,93,52,42,25.73543,83.88266,6.1494107,233.13214,rice,Cluster 3
35,82,51,35,26.79534,82.14809,5.9506607,193.3474,rice,Cluster 3
36,92,47,36,26.757542,81.17734,5.96037,272.2999,rice,Cluster 3
37,95,47,44,23.863304,83.15251,5.5613985,285.24936,rice,Cluster 3
38,97,47,35,21.019447,82.95222,7.416245,298.40186,rice,Cluster 3
39,93,58,40,24.172989,83.72876,5.58337,257.03436,rice,Cluster 3
40,85,35,45,22.781338,82.06719,6.4300103,248.71832,rice,Cluster 3
41,94,59,37,25.6298,83.52842,5.5348783,209.90019,rice,Cluster 3
42,82,55,39,25.59705,80.145096,6.903986,200.8349,rice,Cluster 3
43,82,46,36,23.830675,84.8136,6.2714787,298.56012,rice,Cluster 3
44,60,51,44,26.313555,82.36699,7.2242856,265.53558,rice,Cluster 3
45,74,38,41,24.897282,80.52586,6.1342874,183.67932,rice,Cluster 3
46,61,41,39,24.958778,84.47964,5.206373,196.956,rice,Cluster 3
47,94,40,39,23.241135,84.59202,7.782051,233.04535,rice,Cluster 3
48,90,41,37,21.666283,80.7096,7.062779,210.81421,rice,Cluster 3
49,76,51,44,24.635448,80.41363,7.7303677,253.72028,rice,Cluster 3
50,98,60,39,23.43122,83.0631,5.286204,219.90483,rice,Cluster 3
51,76,53,35,20.045414,80.347755,6.76624,208.58101,rice,Cluster 3
52,91,57,43,23.85724,82.22573,7.3827624,195.09483,rice,Cluster 3
53,88,35,37,21.971994,81.899185,5.6581693,227.36371,rice,Cluster 3
54,69,51,39,26.22917,83.83626,5.54336,286.50836,rice,Cluster 3
55,84,54,45,23.446768,84.793526,6.21511,283.93384,rice,Cluster 3
56,88,36,37,25.655535,83.47021,7.120273,217.37886,rice,Cluster 3
57,100,36,36,24.443455,82.45432,5.9506474,267.9762,rice,Cluster 3
58,68,42,37,20.280193,82.12354,7.2367053,191.95357,rice,Cluster 3
59,68,52,44,21.723831,80.23899,6.501698,277.96262,rice,Cluster 3
60,81,51,41,20.41447,82.20802,7.5924907,245.15112,rice,Cluster 3
61,95,59,41,25.755285,83.51827,5.8753457,245.66267,rice,Cluster 3
62,95,46,35,20.615213,83.77345,6.9324,279.54517,rice,Cluster 3
63,98,35,35,21.841068,80.72887,6.94621,202.38383,rice,Cluster 3
64,95,37,36,20.083696,83.291145,5.739175,263.6372,rice,Cluster 3
65,62,55,37,24.458021,82.74836,6.738652,182.56163,rice,Cluster 3
66,85,52,37,21.143475,80.33503,5.5948195,198.6731,rice,Cluster 3
67,92,54,37,25.787205,82.11124,6.946636,243.51204,rice,Cluster 3
68,68,47,42,23.641249,80.28598,5.01214,263.11032,rice,Cluster 3
69,89,40,41,23.431917,80.56888,6.363472,269.5039,rice,Cluster 3
70,85,53,37,24.976696,83.89181,6.880431,204.80019,rice,Cluster 3
71,60,41,43,22.727911,82.170685,7.3004107,260.8875,rice,Cluster 3
72,100,58,39,24.873007,82.840225,6.5879188,295.60944,rice,Cluster 3
73,80,60,39,21.323763,83.003204,7.2837367,192.31975,rice,Cluster 3
74,99,48,37,26.294655,84.56919,7.0239363,257.4915,rice,Cluster 3
75,92,54,40,22.228699,81.85873,6.9390836,278.0792,rice,Cluster 3
76,62,51,43,26.730724,81.785965,7.8684745,280.40445,rice,Cluster 3
77,99,48,41,24.889212,81.97927,5.005307,185.94614,rice,Cluster 3
78,60,35,39,26.884449,81.460335,6.136132,194.57666,rice,Cluster 3
79,88,46,42,22.678461,83.728745,7.5240803,200.91331,rice,Cluster 3
80,64,56,37,26.088678,80.3798,5.706943,182.90436,rice,Cluster 3
81,70,47,35,25.429775,82.94682,5.7585063,195.35745,rice,Cluster 3
82,64,58,41,26.403233,81.05636,6.3496065,223.36719,rice,Cluster 3
83,96,49,45,26.04372,84.96907,5.999969,186.75368,rice,Cluster 3
84,88,38,38,25.282722,80.54373,5.453592,220.11568,rice,Cluster 3
85,95,42,40,22.085766,83.47038,6.372576,231.7365,rice,Cluster 3
86,89,55,44,23.286171,81.43322,5.1055884,242.31706,rice,Cluster 3
87,78,53,36,25.48592,81.406334,5.935344,182.65494,rice,Cluster 3
88,63,56,36,23.675755,81.03569,5.177823,233.70349,rice,Cluster 3
89,94,45,41,20.824772,84.134186,6.4623914,230.22423,rice,Cluster 3
90,100,59,39,26.92995,81.91411,7.0691724,290.67938,rice,Cluster 3
